names,label
IAL_absolutism_01,You can classify almost all people as either honest or crooked.
IAL_absolutism_02,A person is either 100% patriotic or he isn’t.
IAL_absolutism_03,"There are basically two kinds of people, the ""good"" and the ""bad."""
IAL_absolutism_04,A person either knows the answer to a question or he doesn’t.
IAL_absolutism_05,"There are two kinds of people in the world, the weak and the strong."
IAL_absolutism_06,"Our thinking would be a lot better off if we would just forget about words like “probably,” “approximately,” “perhaps.”"
IAL_absolutism_07,Nothing gets accomplished in this world unless you stick to some basic rules.
IAL_absolutism_08,A good job is one where what is to be done is always clear.
IAL_absolutism_09,There’s a right way and a wrong way to do almost everything.
IAL_complexity_01,I enjoy tackling problems that are complex enough to be ambiguous.
IAL_complexity_02,"I often find myself looking for something new, rather than trying to hold things constant in my life."
IAL_complexity_03,I generally prefer novelty over familiarity.
IAL_complexity_04,Some problems are so complex that just trying to understand them is fun.
IAL_complexity_05,I pursue problem situations which are so complex some people call them “mind boggling.”
IAL_complexity_06,I’m drawn to situations which can be interpreted in more than one way.
IAL_complexity_07,I tend to like obscure or hidden symbolism.
IAL_complexity_08,Vague and impressionistic pictures appeal to me more than realistic pictures.
IAL_complexity_09,"Generally, the more meanings a poem or story has, the better I like it."
IAL_complexity_10,It is more fun to tackle a complicated problem than to solve a simple one.
IAL_discomfort_01,I always want to know what people are laughing at.
IAL_discomfort_02,It intensely disturbs me when I am uncertain of how my actions affect others.
IAL_discomfort_03,It bothers me when I am unable to follow another person’s train of thought.
IAL_discomfort_04,"If I am uncertain about the responsibilities of a job, I get anxious."
IAL_discomfort_05,I get pretty anxious when I’m in a social situation over which I have no control.
IAL_discomfort_06,I am just a little uncomfortable with people unless I feel that I can understand their behavior.
IAL_discomfort_07,I don't feel comfortable with people until I can find out something about them.
IAL_discomfort_08,"If I don’t get the punch line of a joke, I don’t feel right until I understand it."
IAL_discomfort_09,I enjoy carefully rehashing my conversations in my mind afterwards.
NFC_ambiguity_01,I don't like situations that are uncertain.
NFC_ambiguity_02,I feel uncomfortable when I don’t understand the reason why an event occurred in my life.
NFC_ambiguity_03,"When I am confused about an important issue, I feel upset."
NFC_ambiguity_04,"In most social conflicts, I can easily see which side is right and which is wrong."
NFC_ambiguity_05,I like to know what people are thinking all the time.
NFC_ambiguity_06,I dislike it when a person's statement could mean many different things.
NFC_ambiguity_07,It's annoying to listen to someone who cannot seem to make up his or her mind.
